No, Forams, ChambersAvg, AlgaeSum, Die, New
1,8,1,560.215,0,0
2,8,1,879.028827293,0,0
3,8,1,888.188827293,0,0
4,8,1,889.0,0,0
5,8,1,889.0,0,0
6,8,1,889.0,0,0
7,8,1,889.0,0,0
8,8,1,889.0,0,0
9,8,1,889.0,0,0
10,8,1,889.0,0,0
11,8,1,889.0,0,0
12,8,1,889.0,0,0
13,8,1,889.0,0,0
14,8,1,889.134723319,0,0
15,8,1,890.124723319,0,0
16,8,1,890.990445775,0,0
17,8,2,891.0,0,0
18,8,2,891.124569378,0,0
19,8,2,892.166086231,0,0
20,8,2,893.916241703,0,0
21,8,2,895.0,0,0
22,8,2,895.024576434,0,0
23,8,2,896.0,0,0
24,8,3,896.018963392,0,0
25,8,3,898.0,0,0
26,16,2,898.0,1,9
27,16,2,898.0,0,0
28,24,1,898.0,1,9
29,40,1,898.0,2,18
30,40,1,898.096489773,0,0
31,48,1,899.196489773,1,9
32,48,1,900.0,0,0
33,56,1,900.0,1,9
34,56,1,900.119923587,0,0
35,56,1,901.119923587,0,0
36,56,1,902.0,0,0
37,56,1,902.0,0,0
38,56,1,902.0,0,0
39,64,1,902.0,1,9
40,64,1,902.0,0,0
41,64,1,902.0,0,0
42,64,1,902.0,0,0
43,64,1,902.0,0,0
44,64,1,902.058141458,0,0
45,64,1,902.473141458,0,0
46,64,1,902.888141458,0,0
47,64,1,903.0,0,0
48,64,1,903.163196616,0,0
49,64,2,905.013196616,0,0
50,64,2,906.78677041,0,0
51,72,2,907.0,1,9
52,72,2,907.013545725,0,0
53,80,2,907.958545725,1,9
54,96,2,908.0,2,18
55,144,1,908.0,6,54
56,168,1,908.0,3,27
57,176,1,908.0,1,9
58,216,1,908.0,5,45
59,216,1,908.0,0,0
60,240,1,908.0,3,27
61,272,1,907.45,4,36
62,288,1,906.475,2,18
63,312,1,906.075,3,27
64,328,1,905.815,2,18
65,328,1,904.73,0,0
66,336,1,902.845,1,9
67,368,1,901.755,4,36
68,392,1,900.64,3,27
69,416,1,899.96,3,27
70,448,1,898.53,4,36
71,448,1,896.16,0,0
72,464,1,894.19,2,18
73,472,1,892.040900747,1,9
74,496,1,890.170900747,3,27
75,520,1,887.998737289,3,27
76,536,1,884.403737289,2,18
77,536,1,879.55,0,0
78,560,1,870.815,3,27
79,568,1,860.81,1,9
80,616,1,849.98,6,54
81,648,1,842.020167062,4,36
82,716,1,832.78,13,81
83,764,1,823.688047322,6,54
84,800,1,813.955,9,45
85,837,1,804.875,8,45
86,899,1,790.865,10,72
87,995,1,774.87,12,108
88,1081,1,760.71,13,99
89,1186,1,738.695,21,126
90,1293,1,711.775,19,126
