No, Forams, ChambersAvg, AlgaeSum, Die, New
1,8,1,556.237520957,0,0
2,8,1,864.477452984,0,0
3,8,1,871.982452984,0,0
4,8,1,872.0,0,0
5,8,1,872.074811867,0,0
6,8,1,872.549811867,0,0
7,8,1,873.0,0,0
8,8,1,873.0,0,0
9,8,1,873.0,0,0
10,8,1,873.0,0,0
11,8,2,873.0,0,0
12,8,2,873.0,0,0
13,8,2,873.0,0,0
14,8,2,873.0,0,0
15,8,2,873.0,0,0
16,8,2,873.0,0,0
17,8,3,873.011918041,0,0
18,8,3,873.486918041,0,0
19,8,3,873.961918041,0,0
20,8,3,874.139654001,0,0
21,16,1,875.924958566,1,9
22,16,2,876.0,0,0
23,24,1,876.0,1,9
24,24,1,876.0,0,0
25,32,1,876.093123408,1,9
26,32,1,877.06689883,0,0
27,40,1,877.91189883,1,9
28,48,1,878.0,1,9
29,48,1,878.0,0,0
30,56,1,878.0,1,9
31,56,1,878.0,0,0
32,56,1,878.163114555,0,0
33,56,1,879.598114555,0,0
34,56,1,880.960432877,0,0
35,56,1,881.045666948,0,0
36,64,1,881.640666948,1,9
37,64,1,882.061366067,0,0
38,64,1,882.561902421,0,0
39,64,1,883.700639688,0,0
40,64,1,884.683737267,0,0
41,64,1,885.0,0,0
42,64,1,885.0,0,0
43,64,1,885.0,0,0
44,64,1,884.925,0,0
45,64,2,884.85,0,0
46,64,2,884.72,0,0
47,64,2,884.59,0,0
48,96,1,884.060322265,4,36
49,104,1,884.310322265,1,9
50,104,1,884.425442749,0,0
51,112,1,886.0,1,9
52,112,1,886.0,0,0
53,136,1,886.0,3,27
54,176,1,886.053016119,5,45
55,192,1,887.0,2,18
56,200,1,887.0,1,9
57,208,1,887.0,1,9
58,232,1,887.087111349,3,27
59,248,1,888.0,2,18
60,264,1,888.0,2,18
61,264,1,887.375,0,0
62,280,1,886.185,2,18
63,312,1,885.267342294,4,36
64,360,1,885.177342294,6,54
65,384,1,883.905,3,27
66,440,1,882.445,7,63
67,464,1,880.362902784,3,27
68,464,1,878.647902784,0,0
69,472,1,875.887902784,1,9
70,496,1,870.36,3,27
71,496,1,867.01,0,0
72,534,1,863.1,7,45
73,542,1,858.295,1,9
74,558,1,851.765,2,18
75,590,1,843.965,4,36
76,614,1,834.463558764,3,27
77,670,1,828.028558764,7,63
78,708,1,816.858558764,7,45
79,762,1,805.786906156,9,63
80,805,1,790.141906156,11,54
81,857,1,780.835,11,63
82,899,1,771.133943494,12,54
83,954,1,761.122219746,8,63
84,1010,1,752.691189648,7,63
85,1082,1,739.92,9,81
86,1160,1,724.855,12,90
87,1272,1,709.845,14,126
88,1366,1,693.77,14,108
89,1502,1,674.52,17,153
90,1587,1,645.699643512,14,99
91,1725,1,593.994643512,24,162
92,1842,1,543.235,27,144
93,1988,1,485.645,43,189
94,2090,1,430.85,42,144
95,2125,1,382.145,64,99
96,2201,1,317.72,86,162
97,2237,1,263.82,63,99
98,2194,1,223.4,123,80
99,2226,1,173.09,94,126
100,2237,1,133.365,97,108
101,2196,1,97.845,131,90
102,2103,1,70.605,138,45
103,2000,1,39.3002813451,155,52
104,1899,1,22.7502813451,146,45
105,1776,1,13.965,176,53
106,1601,1,1.965,184,9
107,1408,1,0.0,219,26
108,1205,1,0.0,203,0
109,989,1,0.0,216,0
110,796,1,0.0,193,0
111,663,1,0.0,133,0
112,519,1,0.361051846562,144,0
113,432,1,2.01752159121,96,9
114,318,1,3.0,114,0
115,227,1,3.0,91,0
116,160,1,2.0,67,0
117,105,1,2.0,55,0
118,75,1,2.0,30,0
119,52,1,2.08801147555,23,0
120,34,1,3.0,18,0
121,24,1,2.735,10,0
122,18,1,2.08570975525,6,0
123,16,1,2.60303886931,2,0
124,16,1,3.48959625459,0,0
125,15,1,4.46959625459,1,0
126,13,1,5.0,2,0
127,11,1,5.0,2,0
128,10,1,5.0,1,0
129,7,1,5.0,3,0
130,6,1,5.0,1,0
131,6,1,5.0,0,0
132,6,1,5.0,0,0
133,6,1,5.0,0,0
134,6,1,5.0,0,0
135,6,1,5.08475755466,0,0
136,6,2,5.65975755466,0,0
137,6,2,6.0,0,0
138,6,2,6.0,0,0
139,6,2,6.04448509321,0,0
140,6,2,6.47448509321,0,0
141,14,1,7.0,1,9
142,14,1,7.0,0,0
143,10,1,7.0,4,0
144,10,1,7.0,0,0
145,10,1,7.0,0,0
146,18,1,7.0,1,9
147,18,1,7.02390530849,0,0
148,18,1,8.06417822299,0,0
149,18,1,9.0,0,0
150,26,1,9.13338732649,1,9
151,26,1,9.29877573281,0,0
152,26,1,9.59754895354,0,0
153,26,1,10.0,0,0
154,26,1,9.935,0,0
155,26,1,9.10235990759,0,0
156,26,1,10.0223599076,0,0
157,26,1,10.8595959161,0,0
158,26,1,10.67,0,0
159,26,1,10.1280799233,0,0
160,26,1,11.0980799233,0,0
161,26,1,12.0345373257,0,0
162,34,1,12.4413325036,1,9
163,34,1,12.9113325036,0,0
164,33,1,12.745,1,0
165,33,1,12.0,0,0
166,41,1,12.0,1,9
167,40,1,11.95,1,0
168,36,1,11.7192781022,4,0
169,36,1,12.3773808139,0,0
170,43,1,13.1158748407,2,9
171,43,1,14.0353877049,0,0
172,43,1,15.0,0,0
173,43,1,14.0,0,0
174,43,1,14.0,0,0
175,41,1,14.0,2,0
176,37,1,13.0085699295,4,0
177,35,1,13.9335699295,2,0
178,29,1,14.0705059598,6,0
179,28,1,14.9955059598,1,0
180,24,1,15.0,4,0
181,23,2,14.4909293973,1,0
182,22,2,14.1159293973,1,0
183,22,2,14.1430011163,0,0
184,22,2,15.2280011163,0,0
185,22,2,15.0,0,0
186,22,2,15.0,0,0
187,22,2,14.9945397257,0,0
188,22,2,15.4445397257,0,0
189,21,2,15.71,1,0
190,19,2,15.595,2,0
191,18,2,15.0,1,0
192,17,2,14.685,1,0
193,17,2,14.0,0,0
194,17,2,14.1857972305,0,0
195,16,3,15.1357972305,1,0
196,24,2,15.9007671383,1,9
197,23,2,16.2307671383,1,0
198,31,1,16.5607671383,1,9
199,39,1,16.575,1,9
200,47,1,16.0,1,9
201,43,1,16.0,4,0
202,50,1,16.0,2,9
203,50,1,16.0,0,0
204,50,1,16.0,0,0
205,50,1,16.0,0,0
206,50,1,16.0,0,0
207,50,1,16.0,0,0
208,57,1,16.0,2,9
209,73,1,16.0,2,18
210,80,1,15.0526822156,2,9
211,80,1,15.2636516725,0,0
212,78,1,15.7409694569,2,0
213,78,1,14.925,0,0
214,77,1,13.875,1,0
215,77,1,13.725,0,0
216,76,1,13.4,1,0
217,82,1,12.4628460664,3,9
218,81,1,11.5628460664,1,0
219,67,1,10.3819033334,14,0
220,66,1,9.76,1,0
221,63,1,8.68,3,0
222,61,1,8.33059907115,2,0
223,63,1,7.18179699167,7,9
224,62,1,7.59972747059,1,0
225,60,1,6.37852955007,2,0
226,60,1,6.80308620506,0,0
227,58,1,6.16455665499,2,0
228,58,1,6.42590257026,0,0
229,56,1,6.33757853868,2,0
230,55,1,6.10134591527,1,0
231,55,1,6.0,0,0
232,63,1,5.05541723353,1,9
233,66,1,5.92041723353,6,9
234,56,1,6.10676312723,10,0
235,49,1,6.945,7,0
236,44,1,6.835,5,0
237,39,1,6.0,5,0
238,37,1,6.11881435705,2,0
239,44,1,9.0,2,9
240,41,1,9.0,3,0
241,39,1,8.46,2,0
242,35,1,7.865,4,0
243,34,1,6.995,1,0
244,32,1,5.595,2,0
245,32,2,5.07774190206,0,0
246,32,2,5.51274190206,0,0
247,31,2,5.88274190206,1,0
248,39,1,5.87,1,9
249,33,2,5.27,6,0
250,33,2,3.17775361814,0,0
251,39,1,3.70775361814,3,9
252,37,1,3.91284604155,2,0
253,43,1,4.0,12,18
254,46,1,3.0,6,9
255,42,1,3.05212792543,4,0
256,25,1,3.63758077567,17,0
257,12,2,4.53545285023,13,0
258,11,2,5.09983005841,1,0
259,9,2,5.54483005841,2,0
260,8,2,6.06272280997,1,0
261,15,1,6.99789275156,2,9
262,14,1,7.0,1,0
263,13,1,7.0,1,0
264,11,1,7.0,2,0
265,11,1,7.12818527151,0,0
266,11,1,9.0,0,0
267,11,1,9.0,0,0
268,11,1,9.0,0,0
269,11,1,9.02741124139,0,0
270,11,1,9.85241124139,0,0
271,19,1,9.645,1,9
272,19,1,9.0,0,0
273,19,1,9.03375597705,0,0
274,14,1,9.55875597705,5,0
275,13,1,10.0,1,0
276,11,1,10.1726682792,2,0
277,11,1,11.3326682792,0,0
278,11,1,12.1241987691,0,0
279,11,1,13.2338075499,0,0
280,11,1,15.1396087808,0,0
281,11,1,15.9993583477,0,0
282,10,1,16.0,1,0
283,10,1,15.975,0,0
284,10,1,15.84,0,0
285,10,1,15.7707188801,0,0
286,9,2,16.5807188801,1,0
287,9,2,17.0,0,0
288,9,2,17.0322591215,0,0
289,9,2,17.6272542725,0,0
290,17,1,19.029995151,1,9
291,17,1,20.0,0,0
292,17,1,20.035269776,0,0
293,17,1,21.0386211352,0,0
294,17,1,21.8636211352,0,0
295,17,1,22.0,0,0
296,17,1,22.0,0,0
297,17,1,22.0,0,0
298,25,1,22.0,1,9
299,24,1,22.0,1,0
300,24,1,22.0362677336,0,0
301,24,1,22.3756852442,0,0
302,24,1,23.2356852442,0,0
303,24,1,23.58,0,0
304,24,1,23.0209594644,0,0
305,32,1,23.5759594644,1,9
306,32,1,23.635,0,0
307,32,1,22.8,0,0
308,40,1,22.645,1,9
309,40,1,22.0,0,0
310,39,1,21.15,1,0
311,39,1,19.74,0,0
312,39,1,18.585,0,0
313,39,1,17.0,0,0
314,39,1,16.425,0,0
315,39,1,15.8,0,0
316,38,1,14.945,1,0
317,38,1,14.89,0,0
318,35,1,14.835,3,0
319,34,1,14.8202309399,1,0
320,32,1,15.2652309399,2,0
321,31,1,16.1203617377,1,0
322,28,2,17.9610860461,3,0
323,25,1,18.0,3,0
324,33,1,18.0,1,9
325,38,1,18.0186268752,4,9
326,37,1,17.9436268752,1,0
327,36,1,18.0,1,0
328,33,1,18.0626721727,3,0
329,31,1,19.8527319844,2,0
330,31,1,20.0,0,0
331,30,1,19.4213206905,1,0
332,29,1,18.6463206905,1,0
333,29,1,18.79,0,0
334,37,1,18.48,1,9
335,45,1,16.865,1,9
336,53,1,16.0,1,9
337,46,1,16.0734078843,7,0
338,46,1,15.4834078843,0,0
339,51,1,15.8547067873,4,9
340,51,1,15.785,0,0
341,49,1,14.9,2,0
342,49,1,14.8,0,0
343,47,1,14.51,2,0
344,47,1,14.22,0,0
345,47,1,12.88,0,0
346,46,1,12.84,1,0
347,45,1,12.8,1,0
348,44,1,12.7433528591,1,0
349,51,1,13.1733528591,2,9
350,49,1,12.95,2,0
