No, Forams, ChambersAvg, AlgaeSum, Die, New
1,8,1,587.84,0,0
2,8,1,921.24,0,0
3,8,1,928.020739149,0,0
4,8,1,928.605739149,0,0
5,8,1,929.0,0,0
6,8,1,929.0,0,0
7,8,1,929.0,0,0
8,8,1,929.0,0,0
9,8,1,929.0,0,0
10,8,1,929.0,0,0
11,8,1,929.0,0,0
12,8,1,929.0,0,0
13,8,1,929.0,0,0
14,8,1,929.0,0,0
15,8,1,929.014647282,0,0
16,8,1,929.579647282,0,0
17,8,1,930.0,0,0
18,8,2,930.0,0,0
19,8,2,930.170468323,0,0
20,8,2,931.350468323,0,0
21,8,2,932.028082264,0,0
22,8,2,933.0,0,0
23,8,3,933.0,0,0
24,8,3,933.0,0,0
25,16,2,933.0,1,9
26,24,1,933.0,1,9
27,32,1,933.0,1,9
28,32,1,933.0,0,0
29,32,1,933.0,0,0
30,32,1,933.0,0,0
31,40,1,933.0,1,9
32,56,1,933.0,2,18
33,56,1,933.0,0,0
34,56,1,933.0,0,0
35,64,1,933.0,1,9
36,64,1,933.0,0,0
37,64,1,933.098484696,0,0
38,64,1,934.663484696,0,0
39,64,1,935.954455055,0,0
40,72,1,936.0,1,9
41,72,1,936.06828199,0,0
42,72,1,936.53328199,0,0
43,72,1,936.99828199,0,0
44,72,1,937.052449482,0,0
45,72,1,937.637449482,0,0
46,72,1,938.08724884,0,0
47,72,1,938.52224884,0,0
48,72,1,938.95724884,0,0
49,72,1,939.018137571,0,0
50,72,1,939.744810128,0,0
51,72,1,941.969086802,0,0
52,72,1,942.0,0,0
53,72,2,942.0,0,0
54,72,2,942.111264097,0,0
55,72,2,943.978076273,0,0
56,88,2,944.0,2,18
57,112,1,944.094791014,3,27
58,144,1,945.0,4,36
59,160,1,945.0,2,18
60,168,1,945.08094518,1,9
61,208,1,945.21808316,5,45
62,232,1,945.31213798,3,27
63,288,1,945.39,7,63
64,312,1,944.975,3,27
65,352,1,943.38,5,45
66,400,1,942.505,6,54
67,432,1,940.83,4,36
68,440,1,938.955,1,9
69,456,1,938.365,2,18
70,464,1,936.282970857,1,9
71,488,1,936.202970857,3,27
72,504,1,935.771675784,2,18
73,520,1,935.456675784,2,18
74,544,1,935.035,3,27
75,552,1,933.675,1,9
76,560,1,931.78,1,9
77,568,1,928.935,1,9
78,600,1,926.85,4,36
79,600,1,924.244778857,0,0
80,600,1,921.424778857,0,0
81,608,1,919.985,1,9
82,616,1,919.0,1,9
83,632,1,919.0,2,18
84,664,1,919.0,4,36
85,688,1,917.935,3,27
86,704,1,913.0,2,18
87,720,1,906.0,2,18
88,760,1,903.905,5,45
89,824,1,894.955,8,72
90,912,1,882.632496836,11,99
91,1032,1,856.8385368,15,135
92,1144,1,824.11387387,14,126
93,1264,1,786.391941731,15,135
94,1416,1,746.155,19,171
95,1534,1,698.935,17,135
96,1686,1,651.8,19,171
97,1878,1,599.0,24,216
98,2005,1,551.58,17,144
99,2234,1,494.194755071,32,261
100,2451,1,430.823364594,35,252
101,2666,1,359.768364594,37,252
102,2804,1,302.125,69,207
103,2939,1,246.725,80,215
104,3017,1,199.34,118,196
105,3006,1,150.32,145,134
106,2966,1,100.8,214,174
107,2929,1,71.645,189,152
108,2844,1,35.705,252,167
109,2768,1,16.39,219,143
110,2605,1,6.125,298,135
111,2367,1,1.93066977155,310,72
112,2113,1,0.0691474966845,326,72
113,1810,1,0.0,375,72
114,1582,1,0.0,318,90
115,1348,1,0.0249750832049,279,45
116,1168,1,0.0,225,45
117,946,1,0.0,267,45
118,739,1,0.0,207,0
119,569,1,0.0,170,0
120,469,1,0.0933785095248,136,36
121,368,1,0.0154206552379,110,9
122,268,1,0.083779936297,109,9
123,214,1,0.688179493771,63,9
124,166,1,2.21645808967,48,0
125,105,1,3.0,61,0
126,80,1,3.0,25,0
127,59,2,3.0,21,0
128,49,2,3.0,10,0
129,29,2,3.0,20,0
130,24,2,3.0,5,0
131,20,2,3.0,4,0
132,24,1,3.09378361188,5,9
133,22,1,3.64878361188,2,0
134,16,1,4.08231372248,6,0
135,7,2,4.68731372248,9,0
136,5,2,5.04174306513,2,0
137,5,2,5.47674306513,0,0
138,5,2,5.91174306513,0,0
139,4,2,6.03156316556,1,0
140,4,2,6.59656316556,0,0
141,4,2,7.06970695183,0,0
142,2,1,8.0,2,0
143,2,1,8.0,0,0
144,2,1,8.0,0,0
145,2,2,8.0,0,0
146,1,2,8.0,1,0
147,1,3,8.08110683676,0,0
148,1,3,9.0670710721,0,0
149,1,4,10.0,0,0
150,1,4,10.0,0,0
151,1,4,10.0,0,0
152,1,5,10.0,0,0
153,9,1,10.061333517,1,9
154,9,1,10.656333517,0,0
155,9,1,11.0,0,0
156,9,1,11.1302776863,0,0
157,9,1,12.1302776863,0,0
158,9,1,13.1343941693,0,0
159,9,1,14.6493219536,0,0
160,9,1,16.1776738502,0,0
161,9,1,17.7550780356,0,0
162,9,1,19.4525174686,0,0
163,9,1,19.8735721292,0,0
164,9,1,20.0,0,0
165,9,1,20.1598667969,0,0
166,9,1,21.2711713247,0,0
167,9,1,23.1128571023,0,0
