No, Forams, ChambersAvg, AlgaeSum, Die, New
1,8,1,551.384152489,0,0
2,8,1,859.594152489,0,0
3,8,1,866.0,0,0
4,8,1,866.009134214,0,0
5,8,1,866.464134214,0,0
6,8,1,866.930676376,0,0
7,8,1,867.585705588,0,0
8,8,1,868.594163426,0,0
9,8,1,869.005312486,0,0
10,8,1,869.470312486,0,0
11,8,1,869.935312486,0,0
12,8,1,870.0,0,0
13,8,1,870.0,0,0
14,8,1,870.091737713,0,0
15,8,1,870.566737713,0,0
16,8,1,871.047237636,0,0
17,8,1,871.629562418,0,0
18,8,2,873.059362233,0,0
19,8,2,874.458082701,0,0
20,8,2,875.0,0,0
21,8,2,875.127947505,0,0
22,16,1,877.0,1,9
23,16,1,877.062561845,0,0
24,16,1,878.0,0,0
25,24,1,878.0,1,9
26,24,1,878.0,0,0
27,24,1,878.0,0,0
28,32,1,878.0,1,9
29,32,1,878.00090933,0,0
30,32,1,879.0,0,0
31,40,1,879.0,1,9
32,40,1,879.0,0,0
33,40,1,879.023557056,0,0
34,40,1,879.478557056,0,0
35,40,1,879.933557056,0,0
36,40,1,880.0,0,0
37,48,1,880.085262828,1,9
38,48,1,881.505963884,0,0
39,64,1,883.395963884,2,18
40,64,1,884.0,0,0
41,64,1,884.05816762,0,0
42,64,1,884.66316762,0,0
43,64,1,885.0,0,0
44,64,1,885.0,0,0
45,64,1,885.091577196,0,0
46,64,1,886.041577196,0,0
47,64,1,886.991577196,0,0
48,64,1,886.95,0,0
49,64,1,886.9,0,0
50,72,1,886.85,1,9
51,80,1,887.074200139,1,9
52,88,1,888.0,1,9
53,88,1,888.0,0,0
54,112,1,888.0,3,27
55,120,1,888.0,1,9
56,128,1,888.0,1,9
57,144,1,888.0,2,18
58,168,1,888.0,3,27
59,184,1,888.0,2,18
60,208,1,888.0,3,27
61,208,1,887.38,0,0
62,224,1,885.73,2,18
63,240,1,885.375,2,18
64,280,1,884.604357068,5,45
65,320,1,883.989357068,5,45
66,344,1,882.389357068,3,27
67,352,1,881.535,1,9
68,376,1,878.533445331,3,27
69,381,1,875.948445331,1,6
70,397,1,872.225,2,18
71,429,1,869.28,4,36
72,428,1,867.585,1,0
73,428,1,864.99614929,0,0
74,467,1,861.978283207,5,44
75,483,1,858.350119661,2,18
76,507,1,854.860119661,3,27
77,522,1,849.185,3,18
78,537,1,843.49,3,18
79,542,1,836.175,4,9
80,623,1,825.395380613,15,96
81,639,1,819.001603061,2,18
82,670,1,813.0,4,35
83,723,1,810.0,9,62
84,773,1,804.955,7,57
85,843,1,800.0,16,86
86,886,1,795.99,17,60
87,927,1,789.93,22,63
88,1009,1,782.069053508,15,97
89,1098,1,776.889053508,22,111
90,1160,1,769.0,20,82
