No, Forams, ChambersAvg, AlgaeSum, Die, New
1,8,1,580.95,0,0
2,8,1,909.69,0,0
3,8,1,918.0,0,0
4,8,1,918.0,0,0
5,8,1,918.095020633,0,0
6,8,1,918.560020633,0,0
7,8,1,919.0,0,0
8,8,1,919.0,0,0
9,8,1,919.031359935,0,0
10,8,1,919.596359935,0,0
11,8,1,920.0,0,0
12,8,1,920.0,0,0
13,8,1,920.0,0,0
14,8,1,920.058442707,0,0
15,8,1,921.068442707,0,0
16,8,1,921.933772392,0,0
17,8,1,922.0,0,0
18,8,1,922.0,0,0
19,8,1,922.0,0,0
20,8,1,922.0,0,0
21,8,1,922.059362249,0,0
22,8,1,923.070515249,0,0
23,8,1,924.0,0,0
24,8,1,924.0,0,0
25,8,1,924.0,0,0
26,8,1,924.0,0,0
27,8,1,924.0,0,0
28,8,1,924.027931632,0,0
29,8,1,925.0,0,0
30,8,1,925.0,0,0
31,8,1,925.0,0,0
32,8,1,925.003358609,0,0
33,8,2,925.518358609,0,0
34,8,2,926.036010455,0,0
35,8,2,926.601010455,0,0
36,8,2,927.0,0,0
37,16,1,927.0,1,9
38,16,2,927.0,0,0
39,16,2,927.0,0,0
40,24,1,927.0,1,9
41,32,1,927.082564744,1,9
42,32,1,928.537564744,0,0
43,32,1,929.761045676,0,0
44,40,1,930.022511558,1,9
45,40,1,930.583361806,0,0
46,40,1,931.0,0,0
47,40,1,931.077033687,0,0
48,40,1,931.572033687,0,0
49,48,1,932.0,1,9
50,48,1,932.0,0,0
51,48,1,932.0,0,0
52,48,1,932.052932971,0,0
53,48,1,933.0,0,0
54,48,1,933.0,0,0
55,48,1,933.0,0,0
56,48,1,933.0,0,0
57,48,1,933.0,0,0
58,56,1,933.0,1,9
59,56,1,933.0,0,0
60,56,1,933.0,0,0
61,56,1,933.0,0,0
62,56,1,933.0,0,0
63,64,1,933.017478944,1,9
64,64,1,933.947478944,0,0
65,64,1,934.936132644,0,0
66,64,1,935.6536537,0,0
67,64,1,936.0,0,0
68,64,1,936.0,0,0
69,72,1,936.0,1,9
70,72,1,936.097315954,0,0
71,72,1,936.512315954,0,0
72,72,1,936.927315954,0,0
73,72,1,937.028678867,0,0
74,72,1,937.553678867,0,0
75,72,1,938.0,0,0
76,72,1,938.0,0,0
77,72,1,938.156080036,0,0
78,80,1,940.136080036,1,9
79,80,1,941.725409498,0,0
80,80,1,941.735,0,0
81,80,1,942.243542069,0,0
82,80,1,945.970111104,0,0
83,88,1,946.0,1,9
84,104,1,946.0,2,18
85,104,1,946.0,0,0
86,104,1,946.0,0,0
87,136,1,946.0,4,36
88,144,1,946.010374381,1,9
89,152,1,947.0,1,9
90,168,1,946.95,2,18
91,176,1,946.125,1,9
92,192,1,944.68,2,18
93,216,1,943.6,3,27
94,248,1,942.325,4,36
95,272,1,942.055,3,27
96,280,1,941.655,1,9
97,304,1,940.855,3,27
98,344,1,940.7,5,45
99,352,1,940.38,1,9
100,376,1,939.94,3,27
101,384,1,939.01,1,9
102,400,1,938.02,2,18
103,408,1,937.15,1,9
104,416,1,936.47,1,9
105,416,1,935.83,0,0
106,432,1,934.447484771,2,18
107,448,1,933.402484771,2,18
108,464,1,932.25,2,18
109,480,1,930.815,2,18
110,488,1,928.89442213,1,9
111,512,1,930.027130613,3,27
112,528,1,931.0,2,18
113,552,1,931.053022604,3,27
114,560,1,933.0,1,9
115,568,1,932.97,1,9
116,584,1,932.0,2,18
117,592,1,932.0,1,9
118,592,1,932.0,0,0
119,600,1,932.0,1,9
120,600,1,932.0,0,0
121,608,1,929.993150579,1,9
122,640,1,927.168567493,4,36
123,656,1,923.850416913,2,18
124,656,1,916.79,0,0
125,680,1,910.695,3,27
126,712,1,904.059979934,4,36
127,720,1,893.468782696,1,9
128,744,1,882.378802762,3,27
129,768,1,867.891467355,3,27
130,784,1,852.5,2,18
131,808,1,834.09,3,27
132,879,1,812.72,10,81
133,911,1,789.105,4,36
134,943,1,764.46,4,36
135,983,1,734.785,5,45
136,1039,1,707.971828802,7,63
137,1095,1,674.725,7,63
138,1175,1,637.2,10,90
139,1287,1,600.695,14,126
140,1358,1,574.025,10,81
141,1462,1,545.805,13,117
142,1590,1,512.833832153,18,146
143,1697,1,481.820980186,19,126
144,1796,1,453.955,18,117
145,1967,1,423.0,36,207
146,2079,1,389.855,23,135
147,2165,1,357.869873449,49,135
148,2230,1,307.49,50,115
149,2254,1,255.91,66,90
150,2329,1,214.79,42,117
151,2363,1,170.89047022,36,70
152,2454,1,124.852117612,34,125
153,2544,1,87.945,36,126
154,2593,1,39.615,68,117
155,2623,1,14.7301784526,63,93
156,2613,1,2.10517845264,81,71
157,2526,1,0.970178452638,132,45
158,2472,1,1.0,117,63
159,2388,1,1.08132855568,120,36
160,2283,1,1.08433645264,168,63
161,2154,1,1.0,192,63
162,2007,1,1.03442065207,192,45
163,1815,1,0.944441347039,228,36
164,1638,1,0.0,186,9
165,1427,1,0.0,220,9
166,1300,1,0.0954702875197,136,9
167,1156,1,0.0,153,9
168,1044,1,0.299034739913,130,18
169,960,1,0.695464343156,102,18
170,870,1,0.836023937035,99,9
171,810,1,1.02027129477,60,0
172,733,1,0.0,77,0
173,668,1,0.0,74,9
174,616,1,0.0,52,0
175,547,1,0.0838408336546,69,0
176,509,1,0.0996155608776,47,9
177,464,1,0.146575262275,45,0
178,424,1,0.0,40,0
179,391,1,0.0,33,0
180,353,1,0.0,38,0
181,317,1,0.134439472632,36,0
182,292,1,0.0,25,0
183,271,1,0.0,21,0
184,235,1,0.17347605374,36,0
185,218,1,0.0,17,0
186,199,1,0.0,19,0
187,185,1,0.0,14,0
188,170,1,0.0,15,0
189,157,1,0.0,13,0
190,145,1,0.0,12,0
191,134,1,0.0,11,0
192,122,1,0.0,12,0
193,113,1,0.0,9,0
194,109,1,0.0,4,0
195,100,1,0.0357581036065,9,0
196,94,1,0.450758103606,6,0
197,90,1,0.717062335379,4,0
198,82,1,1.16133944609,8,0
199,82,1,1.44112399567,0,0
200,77,1,1.0,5,0
201,70,1,1.0,7,0
202,67,1,1.0,3,0
203,64,1,1.0,3,0
204,62,1,1.0,2,0
205,58,1,1.06318817583,4,0
206,50,1,1.0,8,0
207,47,1,1.08052326695,3,0
208,41,1,2.0,6,0
209,35,1,2.0,6,0
210,31,1,2.00714757046,4,0
211,26,1,2.3673914855,5,0
212,24,1,3.18184449976,2,0
213,21,1,3.65660058472,3,0
214,20,1,4.0,1,0
215,18,1,4.13850309737,2,0
216,17,1,5.49350309737,1,0
217,17,1,6.45241092377,0,0
218,16,1,7.05562879675,1,0
219,16,1,7.98420986049,0,0
220,16,1,8.0,0,0
221,16,1,8.0,0,0
222,16,1,8.0,0,0
223,16,1,8.07762647084,0,0
224,16,1,8.67262647084,0,0
225,16,1,9.0,0,0
226,16,1,9.09060946299,0,0
227,16,1,9.60560946299,0,0
228,16,1,10.0,0,0
229,16,1,10.0448234078,0,0
230,16,1,10.6525936278,0,0
231,16,1,11.9395259362,0,0
232,16,1,13.0,0,0
233,16,1,13.0,0,0
234,16,1,13.0539865085,0,0
235,16,1,13.9758703026,0,0
236,16,1,15.0,0,0
237,16,1,15.0,0,0
238,16,1,15.0,0,0
239,16,1,15.0,0,0
240,16,1,15.0,0,0
241,16,1,15.0,0,0
242,16,1,14.91,0,0
243,16,1,14.805,0,0
244,16,1,14.7419654382,0,0
245,16,1,14.4469574673,0,0
246,16,1,15.5996331578,0,0
247,16,1,17.3730164477,0,0
248,16,2,18.6230912069,0,0
249,16,2,19.0,0,0
250,16,2,19.0,0,0
251,16,2,19.0168286161,0,0
252,16,2,18.5618286161,0,0
253,16,2,19.0008850522,0,0
254,24,2,19.4858850522,1,9
255,32,1,18.6408850522,1,9
256,32,1,18.6308850522,0,0
257,32,1,18.5008850522,0,0
258,32,1,17.5008850522,0,0
259,37,1,17.0,4,9
260,37,1,17.0,0,0
261,44,1,17.0397979706,2,9
262,44,1,17.9971822736,0,0
263,52,1,19.0,1,9
264,51,1,19.0,1,0
265,59,1,19.0,1,9
266,67,1,19.0,1,9
267,75,1,19.0802337701,1,9
268,75,1,19.1717485863,0,0
269,75,1,20.9410902965,0,0
270,83,1,22.0,1,9
271,91,1,21.8805727652,1,9
272,107,1,21.465,2,18
273,107,1,21.2,0,0
274,104,1,20.585422303,3,0
275,95,1,18.925,9,0
276,94,1,17.7021410482,1,0
277,94,1,17.6944984217,0,0
278,94,1,18.7101527967,0,0
279,102,1,20.3580999657,1,9
280,110,1,21.0294525475,1,9
281,109,1,21.1415869013,1,0
282,109,1,19.6665869013,0,0
283,109,1,19.8324455908,0,0
284,109,1,19.8606508991,0,0
285,109,1,20.8106508991,0,0
286,108,1,21.4792806907,1,0
287,108,1,21.3292806907,0,0
288,108,1,21.1792806907,0,0
289,108,1,21.0929794901,0,0
290,106,1,21.2879794901,2,0
291,106,1,22.0414384448,0,0
292,106,1,23.0,0,0
293,103,1,23.1728653164,3,0
294,102,1,24.9428653164,1,0
295,99,1,25.0,3,0
296,107,1,25.0,1,9
297,107,1,25.0,0,0
298,106,1,25.0007382306,1,0
299,106,1,24.0,0,0
300,106,1,23.0822027669,0,0
301,105,1,23.4422027669,1,0
302,113,1,22.7372027669,1,9
303,121,1,22.7590967029,1,9
304,120,1,22.3340967029,1,0
305,120,1,22.505,0,0
306,111,1,22.205,9,0
307,104,1,20.505,7,0
308,104,1,20.31,0,0
309,104,1,19.895,0,0
310,112,1,18.8602135108,1,9
311,112,1,17.0352135108,0,0
312,112,1,15.9952135108,0,0
313,120,1,13.8952135108,1,9
314,120,1,12.07,0,0
315,126,1,10.175,3,9
316,134,1,7.77,1,9
317,134,1,6.56,0,0
318,130,1,3.0,13,9
319,141,1,3.0,7,18
320,130,1,3.0,11,0
321,130,1,3.0,0,0
322,115,1,3.0,24,9
323,110,2,3.0,5,0
324,117,1,3.0,11,18
325,107,2,3.0,10,0
326,107,2,3.0,0,0
327,98,2,3.0,9,0
328,97,2,3.00718701463,1,0
329,103,2,4.0,3,9
330,118,1,4.0,3,18
331,117,1,2.535,1,0
332,125,1,0.832281784686,1,9
333,105,1,1.08728178469,20,0
334,105,1,0.933946659551,0,0
335,104,1,1.0,1,0
336,103,1,0.918383759028,1,0
337,102,1,0.633383759028,1,0
338,100,1,1.0,2,0
339,99,1,1.0,10,9
340,97,1,0.93,2,0
341,95,1,0.64,2,0
342,93,1,0.0,2,0
343,96,1,0.0,6,9
344,95,1,0.0,1,0
345,84,1,0.0,11,0
346,78,1,0.0311124849057,6,0
347,63,2,0.636112484906,15,0
348,58,1,1.0,5,0
349,50,2,1.0,8,0
350,46,2,1.0,4,0
351,42,1,1.0,4,0
352,40,1,1.0,2,0
353,37,1,1.0,3,0
354,33,1,1.0,4,0
355,32,1,1.0,1,0
356,28,1,1.01296536711,4,0
357,26,1,1.95796536711,2,0
358,23,1,2.03109644491,3,0
359,19,1,3.1052723625,4,0
360,17,1,4.89093505761,2,0
361,17,1,5.0,0,0
362,17,1,5.0,0,0
363,15,1,5.0,2,0
364,14,1,5.14889495669,1,0
365,14,1,6.51389495669,0,0
366,14,1,8.02709765601,0,0
367,14,1,9.26888023119,0,0
368,14,1,10.6920283611,0,0
369,14,1,11.9999821361,0,0
370,22,1,12.8738638009,1,9
371,22,1,13.0,0,0
372,22,1,13.0,0,0
373,21,1,13.0,1,0
374,21,1,13.0502007442,0,0
375,21,1,13.6252007442,0,0
376,21,1,14.0,0,0
377,21,1,14.0289318368,0,0
378,21,1,14.5601684899,0,0
379,21,1,15.6263975831,0,0
380,21,1,16.6012290933,0,0
381,21,1,17.0,0,0
382,29,1,17.0,1,9
383,37,1,17.0143937953,1,9
384,37,1,17.0,0,0
385,37,1,17.0,0,0
386,37,1,17.0556537082,0,0
387,37,1,18.8256537082,0,0
388,37,1,19.0,0,0
389,37,1,19.0,0,0
390,37,1,19.0842513729,0,0
391,45,1,19.2042513729,1,9
392,45,1,18.8,0,0
393,45,1,18.714349108,0,0
394,45,1,18.859349108,0,0
395,45,1,17.9922943185,0,0
396,61,1,18.5998021821,2,18
397,61,1,19.4225078636,0,0
398,61,1,19.36,0,0
399,61,1,18.8,0,0
400,61,1,16.9588800035,0,0
401,61,1,17.524825159,0,0
402,61,1,18.7076282136,0,0
403,61,1,19.4504488289,0,0
404,53,1,19.6831378971,8,0
405,53,1,19.5918693941,0,0
406,53,1,19.4197396606,0,0
407,53,1,20.1597396606,0,0
408,61,1,19.795,1,9
409,67,1,19.59,3,9
410,67,1,19.0049477099,0,0
411,66,1,20.0,1,0
412,82,1,20.1558601881,2,18
413,82,1,22.0,0,0
414,90,1,21.985,1,9
415,86,1,20.97,4,0
416,86,1,20.955,0,0
417,94,1,20.9750180713,1,9
418,94,1,22.9160572133,0,0
419,94,1,22.86,0,0
420,94,1,21.895,0,0
421,94,1,21.165,0,0
422,94,1,20.162448229,0,0
423,94,1,21.7905406918,0,0
424,94,1,23.3741715259,0,0
425,94,1,22.45,0,0
426,94,1,22.015,0,0
427,102,1,20.89,1,9
428,110,1,20.51,1,9
429,110,1,18.475,0,0
430,110,1,17.985,0,0
431,118,1,16.85,1,9
432,126,1,15.4519267288,1,9
433,134,1,14.6319267288,1,9
434,134,1,13.642849334,0,0
435,134,1,13.5454500614,0,0
436,149,1,14.7704500614,12,27
437,149,1,14.685,0,0
438,155,1,14.44,3,9
439,146,1,13.14,9,0
440,154,1,12.37,1,9
441,163,1,10.0,9,18
442,160,1,10.0,3,0
443,146,1,10.0,14,0
444,145,1,7.97,1,0
445,150,1,6.94,4,9
446,148,1,6.9364715101,2,0
447,148,1,6.9514715101,9,9
448,141,1,7.0,7,0
